,date,blue,green,red,nir,swir1,swir2,therm,tcb,tcg,tcw
0,1984-07-28 00:00:00,0.0321,0.0653,0.0509,0.3246,0.1726,0.0857,0.2106,0.3221,0.2008,-0.0764
1,1985-05-12 00:00:00,0.0222,0.0307,0.0321,0.0634,0.0271,0.016,0.1331,0.0836,0.0219,0.001
2,1985-06-29 00:00:00,0.0364,0.0598,0.0496,0.2632,0.1525,0.0803,0.1748,0.2772,0.1539,-0.0728
3,1985-08-16 00:00:00,0.0314,0.0692,0.0537,0.3865,0.189,0.0952,0.2018,0.368,0.2464,-0.0796
4,1985-10-03 00:00:00,0.0361,0.0664,0.0589,0.2815,0.2117,0.1169,0.1471,0.3225,0.1572,-0.1277
5,1986-04-13 00:00:00,0.0263,0.0297,0.0307,0.0439,0.0224,0.0178,0.07,0.071,0.0064,-0.0012
6,1986-05-15 00:00:00,0.0227,0.0314,0.0325,0.0639,0.0272,0.023,0.1518,0.0862,0.0209,-0.0029
7,1986-05-31 00:00:00,0.0291,0.0383,0.0365,0.0893,0.0487,0.0338,0.2368,0.1164,0.0349,-0.0164
8,1986-07-02 00:00:00,0.0756,0.103,0.0907,0.2892,0.1652,0.0952,0.0849,0.3482,0.1364,-0.0628
9,1986-08-03 00:00:00,0.0348,0.0649,0.0442,0.3227,0.1643,0.0766,0.2062,0.3129,0.2035,-0.0676
10,1986-08-19 00:00:00,0.0293,0.0603,0.0426,0.3499,0.1745,0.0906,0.215,0.3311,0.2258,-0.0794
11,1986-10-06 00:00:00,0.0352,0.0658,0.0659,0.2677,0.2098,0.1166,0.1471,0.3174,0.1431,-0.1269
12,1986-10-22 00:00:00,0.0452,0.0727,0.0905,0.2438,0.231,0.1217,0.0849,0.3299,0.1081,-0.1397
13,1987-03-31 00:00:00,0.0294,0.0368,0.0445,0.0584,0.0347,0.0274,0.08,0.0966,0.0077,-0.0068
14,1987-04-16 00:00:00,0.033,0.0417,0.0419,0.0751,0.0458,0.0333,0.1189,0.1124,0.0197,-0.0144
15,1987-05-18 00:00:00,0.0356,0.0532,0.049,0.1694,0.1262,0.0778,0.1702,0.2113,0.0817,-0.0732
16,1987-06-19 00:00:00,0.0563,0.0865,0.07,0.313,0.1745,0.0995,0.0996,0.3435,0.1716,-0.0774
17,1987-09-07 00:00:00,0.0411,0.0715,0.0609,0.3478,0.2005,0.1012,0.1883,0.3577,0.2092,-0.0957
18,1987-09-23 00:00:00,0.0408,0.0804,0.0717,0.3285,0.221,0.1133,0.2018,0.3654,0.1849,-0.1157
19,1987-10-25 00:00:00,0.0577,0.0938,0.1138,0.316,0.2578,0.1524,0.0947,0.4111,0.1429,-0.1507
20,1988-03-17 00:00:00,0.0395,0.0475,0.057,0.0921,0.0531,0.0388,0.0849,0.1378,0.0227,-0.0133
21,1988-05-20 00:00:00,0.0378,0.0707,0.065,0.2465,0.2035,0.1147,0.2106,0.3048,0.1255,-0.1248
22,1988-07-07 00:00:00,0.035,0.0678,0.0511,0.3568,0.1936,0.094,0.2238,0.3508,0.224,-0.0888
23,1988-07-23 00:00:00,0.0324,0.0731,0.0526,0.3845,0.208,0.0974,0.2368,0.3745,0.244,-0.0938
24,1988-08-08 00:00:00,0.04,0.0829,0.0632,0.3897,0.2062,0.1012,0.2194,0.3893,0.239,-0.0884
25,1988-08-24 00:00:00,0.0395,0.0919,0.0831,0.387,0.2436,0.1287,0.2625,0.4205,0.2212,-0.1232
26,1988-09-09 00:00:00,0.0478,0.093,0.1033,0.3409,0.2741,0.1542,0.2325,0.4228,0.1693,-0.1618
27,1989-03-20 00:00:00,0.0419,0.0378,0.0262,0.0384,0.0141,0.0118,0.0084,0.0679,0.0009,0.0078
28,1989-04-05 00:00:00,0.0184,0.0161,0.0189,0.0305,0.0155,0.0066,0.1093,0.0448,0.0075,0.0011
29,1989-05-07 00:00:00,0.0349,0.0439,0.0439,0.0803,0.0401,0.0272,0.1838,0.1146,0.023,-0.0046
30,1989-06-08 00:00:00,0.0342,0.0515,0.059,0.133,0.0833,0.0595,0.2368,0.1772,0.0511,-0.0373
31,1989-06-24 00:00:00,0.0314,0.0551,0.0593,0.1853,0.1392,0.0839,0.2325,0.2315,0.0886,-0.0793
32,1989-07-10 00:00:00,0.0358,0.0659,0.069,0.2505,0.2533,0.1545,0.2411,0.3318,0.1223,-0.182
33,1989-07-26 00:00:00,0.0352,0.0685,0.0684,0.2741,0.272,0.1637,0.2877,0.3539,0.1395,-0.1954
34,1989-08-11 00:00:00,0.0369,0.0617,0.0593,0.2826,0.2531,0.1355,0.2667,0.3388,0.1561,-0.1678
35,1989-09-12 00:00:00,0.037,0.0729,0.0752,0.2795,0.2682,0.1464,0.2106,0.3578,0.1417,-0.1781
36,1989-09-28 00:00:00,0.0447,0.0645,0.0686,0.2071,0.186,0.1053,0.1883,0.2754,0.094,-0.1147
37,1989-10-30 00:00:00,0.0592,0.0794,0.1071,0.2433,0.2496,0.1456,0.0293,0.3558,0.0924,-0.1602
38,1990-03-23 00:00:00,0.0127,0.0201,0.0145,0.0204,0.014,0.0072,0.075,0.0367,0.0016,-0.001
39,1990-04-08 00:00:00,0.0237,0.0239,0.0221,0.0339,0.0206,0.0145,0.0898,0.0563,0.0049,-0.0038
40,1990-04-24 00:00:00,0.028,0.0377,0.041,0.0833,0.0516,0.032,0.0947,0.1154,0.0285,-0.0172
41,1990-05-10 00:00:00,0.039,0.0525,0.0455,0.1182,0.0778,0.0483,0.1378,0.1583,0.0467,-0.0334
42,1990-06-11 00:00:00,0.0196,0.0367,0.0288,0.1142,0.0637,0.0398,0.1518,0.1299,0.0595,-0.0284
43,1990-06-27 00:00:00,0.0272,0.0419,0.0306,0.1706,0.0819,0.0479,0.1883,0.1746,0.0999,-0.0329
44,1990-08-30 00:00:00,0.0222,0.0498,0.0386,0.2181,0.1175,0.0627,0.1331,0.2231,0.1306,-0.0529
45,1991-04-27 00:00:00,0.039,0.0508,0.0527,0.0956,0.0793,0.0457,0.0947,0.1485,0.0259,-0.0354
46,1991-06-14 00:00:00,0.0241,0.0428,0.0343,0.1609,0.0975,0.0599,0.161,0.1785,0.0889,-0.0515
