,ordinaldate,blue,green,red,nir,swir1,swir2,therm,tcb,tcg,tcw,fmask
0,724453,1547,1690,1580,2777,1790,1290,-801,4346,621,-583,4
1,724485,318,585,508,2812,1507,785,2062,2857,1689,-670,0
2,724741,261,314,328,343,139,98,849,628,-14,86,1
3,724773,280,305,378,669,317,194,1471,921,205,-16,0
4,724821,487,759,808,2391,2669,1655,2106,3454,1016,-1941,0
5,724853,16000,16000,7166,16000,16000,5690,-22,29390,2275,-5279,4
6,724869,361,622,567,2576,2240,1139,2194,3090,1406,-1404,0
7,724917,316,531,704,2016,2435,1406,1702,2920,883,-1787,0
8,725045,16000,7316,7409,7532,732,440,-801,15059,-1905,4986,3
9,725061,1120,1171,1219,983,276,318,-238,2114,-303,460,4
10,725093,697,692,697,951,687,553,-293,1705,68,-242,0
11,725109,239,257,207,322,120,24,650,498,55,90,1
12,725141,224,312,353,534,132,91,1518,739,132,139,0
13,725157,255,348,391,821,298,126,2455,1007,324,80,0
14,725189,843,1099,1056,2376,1551,913,700,3274,857,-573,2
15,725205,1487,1669,1617,3639,2835,1865,397,5300,1218,-1472,4
16,725221,430,657,602,2767,2338,1211,2497,3295,1512,-1457,0
17,725237,274,601,550,2814,2235,1060,2540,3170,1634,-1318,0
18,725285,328,565,739,2239,2328,1263,1610,3017,1054,-1565,0
19,725301,506,728,952,2213,2532,1329,947,3303,854,-1644,0
20,725349,1008,1188,1474,2112,955,666,-293,3180,432,85,3
21,725461,283,293,341,416,178,106,700,687,37,69,1
22,725477,354,387,424,675,277,179,1236,983,159,55,0
23,725509,512,720,829,1870,2331,1573,1928,3030,608,-1763,0
24,725541,649,833,880,2418,2142,1307,1093,3327,1010,-1322,0
25,725605,16000,6472,6577,7577,5650,4800,-1715,16826,-1906,-1445,4
26,725621,373,544,593,2141,1990,1005,2194,2715,1083,-1244,0
27,725637,401,562,613,2090,2057,1130,2150,2760,1006,-1366,0
28,725653,1062,1283,1257,2465,2181,1343,397,3854,691,-1140,4
29,725669,399,674,906,2085,2424,1408,898,3145,793,-1673,0
30,725813,310,346,381,610,171,119,800,849,154,128,0
