,ordinaldate,blue,green,red,nir,swir1,swir2,therm,tcb,tcg,tcw,fmask
31,725877,556,800,929,2125,2907,1931,2411,3537,685,-2276,0
32,725925,332,582,595,2353,2118,1177,2752,2925,1223,-1388,0
33,725941,289,503,525,2305,2104,1115,2877,2799,1253,-1389,0
34,725957,368,566,550,2315,2079,1044,2540,2836,1232,-1304,0
35,725973,274,530,612,2313,2307,1173,2835,2936,1205,-1529,0
36,725989,294,512,665,2150,2383,1214,2497,2902,1044,-1624,0
37,726005,438,660,845,2191,2623,1474,1838,3251,894,-1848,0
38,726021,540,751,994,2204,2663,1450,1793,3407,798,-1790,0
39,726181,336,333,298,251,22,29,137,529,-79,187,1
40,726197,127,160,156,224,19,-11,996,311,47,122,1
41,726229,331,439,497,912,257,201,2062,1175,301,134,0
42,726261,639,986,1145,2541,3491,2351,2877,4270,794,-2741,0
43,726277,583,897,1012,2667,3272,2133,2960,4101,1019,-2495,0
44,726293,478,818,860,2746,2976,1787,2625,3835,1241,-2133,0
45,726309,411,783,800,2812,2744,1492,2960,3671,1384,-1810,0
46,726325,415,684,683,2715,2656,1466,2710,3476,1390,-1810,0
47,726357,424,727,820,2388,2819,1587,2194,3463,1034,-2007,0
48,726373,555,893,1097,2682,3363,1942,1793,4134,1022,-2413,0
49,726389,414,660,788,1583,1754,1019,1141,2488,510,-1116,0
50,726405,478,679,971,1795,1752,1043,137,2737,570,-1025,0
51,726453,749,1033,1206,1920,1279,687,-183,2911,484,-309,0
52,726485,2323,2088,2204,2245,528,384,-572,4104,-190,1024,3
53,726549,311,287,407,517,290,207,550,843,67,-29,0
54,726565,357,425,485,860,717,586,849,1372,208,-430,0
55,726581,466,616,684,1319,1394,1068,947,2171,346,-992,0
56,726597,711,879,952,1920,1850,1209,996,2999,573,-1127,0
57,726629,194,301,288,1176,545,295,1518,1238,652,-165,0
58,726645,222,351,305,1705,748,338,1838,1651,1042,-210,0
59,726709,218,348,385,2021,1256,627,1425,2101,1213,-646,0
60,726757,981,1188,1260,1987,2129,1776,-685,3610,281,-1484,4
61,726933,677,984,1265,1837,2643,1695,499,3521,265,-1863,0
62,726949,664,883,1158,1641,2203,1472,750,3116,219,-1519,0
63,726997,360,554,624,1406,1433,905,1610,2114,498,-937,0
64,727013,16000,3898,3924,4890,4437,3326,-238,12026,-1953,-1587,4
65,727045,266,428,398,2250,1497,745,2106,2385,1346,-816,0
66,727061,275,522,417,2378,1652,796,2150,2570,1409,-902,0
67,727077,274,459,485,2282,1728,834,2018,2559,1307,-988,0
68,727093,316,551,638,2150,2001,983,2150,2735,1079,-1223,0
69,727109,396,636,836,2024,2318,1224,1610,2978,814,-1530,0
70,727125,451,693,1050,2256,2438,1317,1284,3324,858,-1543,0
71,727285,1065,1345,1634,2233,3299,2279,750,4523,171,-2389,0
72,727333,862,1215,1467,2266,3566,2520,2062,4494,306,-2796,0
73,727349,793,1086,1353,2279,3554,2422,3001,4344,426,-2789,0
74,727365,967,1329,1558,2827,3908,2547,2106,5048,661,-2881,0
75,727381,1329,1572,1734,3120,3806,2355,2106,5412,723,-2522,0
76,727397,584,875,965,2301,3038,1833,2793,3713,800,-2243,0
77,727413,605,903,1024,2408,2984,1751,3042,3787,858,-2111,0
78,727429,563,814,957,2172,2963,1793,3165,3572,724,-2208,0
79,727461,635,928,1231,2228,3213,1916,2411,3925,579,-2332,0
80,727477,703,954,1252,2116,3238,2045,1748,3935,444,-2436,0
81,727493,775,1021,1375,2315,3140,1795,1093,4071,552,-2124,0
82,727509,824,1091,1403,2088,3332,2167,650,4142,281,-2502,0
83,727685,435,502,546,832,348,309,1236,1258,167,21,0
84,727701,2843,2864,2886,3628,2745,2297,-2961,6841,41,-999,4
85,727717,463,538,660,1288,896,539,1425,1828,427,-359,2
86,727733,478,634,752,1615,1865,1378,2625,2608,496,-1419,0
87,727749,640,930,1029,2176,3577,2635,3406,4067,532,-3092,0
88,727781,803,1022,1156,2309,3523,2614,3486,4263,532,-2953,0
89,727813,760,934,1039,1903,3243,2407,3042,3784,323,-2771,0
90,727829,766,905,1067,1914,3354,2413,2411,3831,323,-2845,0
91,727861,715,868,1071,1767,3185,2294,1425,3643,238,-2694,0
92,727877,6346,6392,6495,6802,5900,4823,-1095,14414,-919,-2126,4
93,727941,6971,7459,7592,7352,623,588,-515,13272,-744,4735,3
94,727957,1563,2012,2178,1988,236,126,-348,3603,-205,1282,3
95,728021,357,366,476,924,735,355,1236,1331,310,-304,0
96,728037,457,474,593,1132,1002,563,1883,1712,348,-511,0
97,728053,16000,4401,4471,5014,4441,3773,-743,12714,-2300,-1567,4
98,728101,479,683,746,1952,2644,1639,3526,3122,718,-2035,0
99,728117,671,837,1016,1900,3173,2188,4107,3638,400,-2619,0
100,728133,609,791,1017,1862,3089,2011,2835,3518,414,-2473,0
101,728149,652,829,1057,1850,3211,2156,3326,3629,349,-2625,0
102,728165,702,889,1058,1894,3150,2097,2918,3658,371,-2525,0
103,728181,790,984,1203,2146,3416,2191,2455,4045,451,-2647,0
104,728197,744,883,1066,1845,3177,2037,3083,3634,331,-2514,0
105,728229,557,588,780,1530,1861,998,898,2481,467,-1199,0
106,728405,234,270,332,891,323,138,1236,988,427,35,0
107,728437,220,352,338,1382,545,309,1610,1414,773,-107,0
108,728453,246,285,314,1013,471,235,1928,1126,513,-103,0
109,728469,253,340,357,1644,1280,672,2625,1891,917,-773,0
110,728485,447,619,674,2206,2482,1503,2455,3113,994,-1828,0
111,728501,386,559,626,1839,2539,1577,3083,2873,739,-2013,0
112,728517,425,554,753,1867,2605,1675,2710,3009,679,-2072,0
113,728533,477,601,771,1858,2762,1736,2667,3107,635,-2202,0
114,728549,507,667,840,1763,2651,1634,2752,3066,521,-2047,0
115,728581,572,678,907,1614,2734,1561,1702,3044,368,-2063,0
116,728597,429,622,804,1531,2186,1278,550,2650,429,-1581,0
117,728613,1839,1866,1965,2514,2301,1727,-238,4802,73,-1085,4
118,728629,585,655,775,1327,1950,1240,-22,2480,254,-1434,0
119,728709,379,311,288,363,114,-23,-129,604,21,172,1
120,728757,237,305,328,772,466,359,1284,1029,294,-215,0
121,728789,298,374,384,1239,718,419,1518,1462,604,-298,0
122,728805,330,416,357,1213,535,303,1838,1372,599,-107,0
123,728821,254,365,347,1496,851,471,1928,1630,828,-385,0
124,728853,399,528,566,1979,2092,1329,2918,2713,920,-1554,0
125,728869,331,475,555,1815,2078,1144,2368,2529,844,-1480,0
126,728885,382,538,610,1873,2145,1220,2583,2668,830,-1529,0
127,728901,352,460,649,1714,2293,1316,2667,2629,693,-1724,0
128,728917,900,868,947,1840,1559,980,397,2840,517,-803,4
129,728933,406,588,831,1650,2449,1416,2018,2829,501,-1820,0
130,728949,2163,2369,2523,3715,4364,3953,-976,7238,267,-3330,4
131,728965,553,774,1019,1893,2629,1595,499,3277,511,-1904,0
132,729077,188,126,204,269,65,94,-293,400,42,46,1
133,729125,363,442,531,933,1195,903,600,1671,193,-917,0
134,729141,288,361,429,843,863,599,1236,1339,246,-573,0
135,729157,1451,1438,1452,2415,1727,1303,-801,3926,465,-713,4
136,729189,189,275,290,1220,733,400,1928,1336,677,-353,0
137,729221,458,535,592,1764,1429,878,1236,2307,791,-858,0
138,729237,256,312,332,1179,1187,747,2106,1587,555,-860,0
139,729253,330,450,475,1500,1674,933,2238,2118,670,-1168,0
140,729269,279,450,477,1469,1824,988,2106,2151,645,-1310,0
141,729285,3958,3825,4119,5330,5092,4421,-459,10355,88,-2949,4
142,729317,290,454,642,1357,1902,1150,650,2244,448,-1432,0
143,729333,383,575,758,1422,1866,1109,550,2394,407,-1306,0
144,729349,573,754,823,1409,2079,1269,84,2639,272,-1489,0
145,729461,364,289,274,330,42,24,849,554,2,176,1
146,729477,145,237,236,307,46,27,-238,455,48,138,1
147,729509,1512,1576,1561,2051,1351,963,-685,3650,131,-257,4
148,729541,192,277,304,822,332,189,2150,942,384,-24,0
149,729557,192,277,304,1162,538,224,1928,1210,649,-120,0
150,729573,304,415,357,1497,826,400,1748,1643,815,-310,0
151,729589,196,326,343,1679,1206,646,2325,1856,967,-709,0
152,729605,218,342,358,1744,1251,670,2583,1933,1001,-733,0
153,729637,320,380,356,1272,1048,468,2150,1587,632,-553,0
154,729653,280,381,458,1645,1681,796,1044,2124,836,-1081,0
155,729669,306,493,637,1620,1926,1091,1425,2405,657,-1354,0
156,729685,426,524,688,1652,1937,1116,898,2499,627,-1345,0
157,729829,16000,7679,7626,6764,221,113,-238,14653,-2654,5524,3
158,729861,369,334,382,370,134,56,1189,693,-35,145,1
159,729893,546,554,616,801,579,395,1044,1415,66,-159,0
160,729909,738,736,787,1141,1100,949,1141,2111,101,-689,4
161,729949,233,398,442,1531,1417,815,2487,1969,755,-938,0
162,729957,286,400,403,1730,1406,756,2194,2056,932,-866,0
163,729965,242,390,318,1802,1336,738,2386,2011,1043,-823,0
164,729981,211,326,220,1749,1064,480,1655,1749,1105,-535,0
165,729989,16000,8911,16000,9626,6187,5167,-1715,24475,-5515,1782,4
166,729997,1627,1621,1577,2797,1445,990,-1029,4165,684,-174,4
167,730005,303,382,391,1702,1065,464,1518,1855,959,-468,0
168,730013,386,432,378,1733,1185,626,1762,1978,942,-634,0
169,730029,295,366,435,1536,1248,645,1271,1875,784,-725,0
170,730037,225,307,453,1451,1334,718,947,1841,721,-853,0
171,730045,222,349,452,1364,1450,808,932,1864,631,-996,0
172,730061,770,892,1048,2013,1940,1244,-94,3159,582,-1157,0
173,730085,1505,1555,1826,2518,2483,1714,-572,4583,268,-1317,4
174,730109,668,695,952,1526,1114,641,-94,2325,390,-395,0
175,730117,733,897,1176,1770,1065,490,-183,2635,440,-109,3
176,730205,213,127,107,150,-8,22,1159,244,1,87,1
177,730221,275,238,232,426,203,117,1382,619,111,2,0
178,730229,16000,6608,6643,6828,6061,5240,-685,16720,-2626,-2092,4
179,730245,290,259,226,405,168,122,1141,605,89,22,1
180,730261,217,280,308,840,409,227,2194,994,386,-94,0
181,730269,245,333,285,1173,611,390,1762,1301,622,-261,0
182,730277,1657,1826,1759,3298,2814,2334,-403,5386,747,-1730,4
183,730285,180,346,334,1692,1064,595,2386,1808,988,-578,0
184,730293,231,382,361,1772,1177,630,2106,1937,1017,-643,0
185,730301,265,366,366,1925,1246,645,2335,2053,1132,-670,0
186,730309,288,496,451,2091,1249,609,1656,2247,1195,-564,0
187,730325,256,369,407,1872,1290,688,2194,2069,1064,-724,0
188,730333,243,382,362,1898,1367,649,2537,2076,1112,-759,0
189,730341,344,518,499,1958,1542,768,2238,2346,1029,-866,0
190,730349,220,412,382,1955,1530,766,2233,2206,1127,-919,0
191,730357,247,382,451,1924,1632,786,2194,2256,1068,-990,0
192,730373,363,512,628,2076,1983,1031,1748,2686,1019,-1264,0
193,730381,318,429,512,1605,1715,897,2130,2192,747,-1146,0
194,730389,279,484,618,1688,1989,1082,1564,2442,728,-1387,0
195,730397,310,429,647,1703,2007,1083,1492,2456,732,-1398,0
196,730405,1076,1179,1197,1704,1652,1301,-628,3169,143,-943,4
197,730485,5320,5696,5844,6074,887,484,-572,10560,-230,3419,3
198,730541,16000,16000,16000,7772,1240,979,-287,23837,-7932,8777,3
199,730557,598,688,900,1346,1447,1084,401,2383,221,-947,0
200,730565,392,516,604,889,570,330,996,1394,184,-112,0
201,730573,353,376,443,732,378,234,1159,1066,190,-33,0
202,730589,1257,1299,1415,2005,1988,1425,-94,3683,202,-1091,4
203,730597,834,993,1161,1720,2188,1620,448,3273,207,-1556,0
204,730613,945,1102,1241,2040,2668,1981,898,3803,328,-1990,0
205,730621,700,853,1020,1845,2858,2046,1437,3490,366,-2324,0
206,730629,550,723,857,1681,2693,1957,2793,3149,382,-2271,0
207,730637,16000,3730,16000,4854,4712,4021,279,18854,-8004,1506,4
208,730645,646,798,864,1898,2055,1436,1189,3007,594,-1455,0
209,730653,517,644,804,1996,2528,1550,2487,3114,740,-1882,0
210,730669,686,821,907,2387,2568,1509,2436,3507,939,-1734,0
211,730677,442,595,646,2036,2030,1203,2150,2778,922,-1384,0
212,730685,1039,1171,1126,2727,2431,1435,1159,3981,979,-1380,4
213,730693,382,546,578,1967,2198,1242,2710,2730,916,-1569,0
214,730709,737,816,802,1824,1350,773,1331,2582,644,-598,4
215,730717,345,525,570,2075,2194,1148,2686,2748,1030,-1495,0
216,730725,370,503,581,1920,2284,1148,2497,2689,902,-1587,0
217,730733,432,551,612,2014,2290,1233,1921,2814,929,-1603,0
218,730741,16000,6574,6457,6803,4865,3989,-515,15924,-2366,-583,4
219,730749,402,564,712,1802,2444,1357,2487,2824,695,-1793,0
220,730757,425,586,777,1752,2546,1437,1748,2896,603,-1895,0
221,730773,1779,1957,2094,3053,2687,1741,-572,5332,425,-1195,4
222,730781,474,701,895,2070,2680,1521,816,3263,752,-1914,0
223,730797,978,1143,1424,2322,2793,1716,-222,4067,485,-1792,0
224,730941,298,357,348,654,303,210,1655,921,191,-17,0
225,730973,657,895,1084,1890,3307,2480,1869,3801,305,-2859,0
226,730981,666,893,1109,1853,3571,2649,1973,3917,238,-3141,0
227,731005,683,815,923,1739,2389,1626,1327,3112,402,-1807,0
228,731013,567,792,911,1858,3133,2200,2960,3506,443,-2653,0
229,731021,1028,1137,1188,2331,2321,1584,640,3771,621,-1461,4
230,731029,2645,2885,2819,3985,3952,3574,-1277,7652,200,-2554,4
231,731037,493,653,620,2151,2557,1547,2979,3109,956,-1925,0
232,731045,421,606,627,2143,2410,1380,2835,2989,992,-1734,0
233,731053,1954,1919,1662,3304,2424,1457,1382,5109,859,-929,4
234,731085,1155,1234,1222,2465,2075,1271,989,3784,715,-1042,4
235,731093,348,598,628,2096,2440,1435,2625,2967,960,-1801,0
236,731109,3889,3918,3925,4793,3541,2918,-2812,9130,-35,-1124,4
237,731117,418,649,788,2090,2664,1479,2686,3167,847,-1919,0
238,731125,381,663,844,2087,2696,1547,1610,3221,810,-1964,0
239,731133,1461,1558,1782,2776,2986,2263,-550,4984,422,-1959,4
240,731141,542,667,925,1800,2461,1444,1793,3038,531,-1767,0
241,731157,531,690,1045,1855,2495,1379,448,3138,521,-1698,0
242,731173,1205,1405,1860,3051,3310,2228,189,5163,681,-2119,2
243,731181,797,1203,1757,2916,3344,2077,401,4836,756,-2162,0
244,731189,1691,1935,2074,2940,2377,1959,-403,5183,333,-1152,4
245,731221,8313,8484,8406,7827,900,839,-1095,14840,-1244,4988,3
246,731253,255,223,326,501,117,108,-238,674,132,107,0
247,731269,518,638,684,1032,1023,701,-22,1824,158,-565,0
248,731301,756,826,994,1492,1971,1548,-348,2880,168,-1497,0
249,731349,681,853,994,1645,2838,2203,2150,3387,201,-2454,0
250,731357,623,744,949,1615,2695,2030,2637,3203,257,-2294,0
251,731381,495,618,689,1692,2389,1699,2835,2852,543,-1979,0
252,731397,472,592,669,1783,2397,1585,2793,2854,651,-1909,0
253,731413,369,534,569,1782,2231,1441,3326,2668,749,-1754,0
254,731421,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
255,731437,350,478,495,1748,2158,1332,2979,2532,790,-1680,0
256,731445,382,518,590,1702,2256,1406,3124,2629,682,-1762,0
257,731453,-9999,-9999,-9999,-9999,-9999,-9999,2931,-9999,-9999,-9999,255
258,731461,412,521,599,1575,2316,1417,2960,2590,570,-1830,0
259,731477,313,501,624,1516,2420,1476,2540,2587,522,-1948,0
260,731485,454,589,718,1586,2616,1558,3075,2825,478,-2066,0
261,731493,511,671,856,1707,2651,1612,2062,3040,471,-2038,0
262,731501,506,601,861,1761,2773,1620,1327,3084,526,-2128,0
263,731509,440,562,892,1759,2869,1601,1748,3095,531,-2183,0
264,731517,501,670,899,2413,2824,1612,874,3521,1012,-2005,0
265,731557,1895,1921,1952,2450,786,458,-129,4023,192,717,3
266,731621,16000,8411,8288,7817,696,479,-976,16161,-2358,5536,3
267,731653,1445,1601,1524,1549,139,72,-75,2752,-115,1006,3
268,731661,326,305,367,599,321,251,1327,899,139,-69,0
269,731669,674,647,673,912,565,476,499,1589,73,-136,2
270,731677,458,530,620,1037,1632,1304,1601,2065,139,-1391,0
271,731693,494,622,730,1237,2093,1613,1437,2503,173,-1800,0
272,731701,571,728,811,1407,2480,2014,2194,2919,174,-2227,0
273,731709,-9999,-9999,-9999,-9999,-9999,-9999,-1029,-9999,-9999,-9999,255
274,731717,592,730,864,1509,2541,2000,1838,3028,227,-2222,0
275,731725,587,694,799,1516,2515,1905,2233,2950,287,-2173,0
276,731733,487,644,737,1525,2550,1902,2540,2890,353,-2225,0
277,731749,442,549,685,1635,2489,1742,3083,2819,517,-2101,0
278,731757,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
279,731765,450,591,639,1702,2470,1740,2835,2845,583,-2080,0
280,731773,425,572,595,1685,2368,1570,3075,2726,623,-1928,0
281,731789,363,497,529,1734,2364,1523,3500,2662,728,-1925,0
282,731797,413,559,619,1814,2528,1601,2835,2863,714,-2026,0
283,731805,557,724,736,2034,2560,1589,3027,3159,774,-1923,0
284,731813,361,557,591,1707,2410,1484,3205,2710,669,-1906,0
285,731821,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
286,731829,373,563,663,1781,2568,1552,2752,2863,679,-2017,0
287,731845,440,631,800,1777,2603,1611,1928,3003,574,-2019,0
288,731853,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
289,731861,493,679,980,1892,2807,1752,2018,3296,537,-2154,0
290,731869,2972,3079,3185,4208,3373,2472,-1687,7692,261,-1280,4
291,731893,550,767,1015,1865,2880,1746,996,3369,471,-2175,0
292,731901,289,252,259,331,334,177,461,643,8,-130,2
293,731917,548,835,1058,1856,2093,1203,31,3043,507,-1283,0
294,731933,2247,2380,2600,2943,1146,729,-31,5102,67,708,2
295,732013,669,700,883,1275,1247,888,461,2244,188,-706,0
296,732045,354,446,508,931,843,623,874,1481,244,-514,0
297,732069,2376,2431,2500,3100,2865,2672,448,6175,-72,-1635,4
298,732085,195,272,295,630,184,83,1331,754,252,100,0
299,732093,215,250,180,608,185,85,2335,674,292,54,0
300,732101,217,241,244,771,259,119,2018,831,387,33,0
301,732109,195,256,237,861,295,152,1816,899,457,6,0
302,732117,232,271,271,1012,351,187,2062,1044,546,-9,0
303,732125,261,321,261,1194,465,241,2026,1218,672,-76,0
304,732133,210,414,359,1587,659,362,2325,1615,906,-158,0
305,732141,218,326,281,1696,783,405,2537,1648,1043,-289,0
306,732149,319,444,439,2139,1724,994,2835,2490,1189,-1127,0
307,732157,328,427,435,2106,1940,1033,3027,2541,1162,-1308,0
308,732165,356,484,471,2045,2004,1125,3124,2596,1065,-1396,0
309,732173,286,467,449,2130,2027,1111,2979,2616,1161,-1399,0
310,732181,251,442,438,2007,2051,1093,2793,2525,1082,-1438,0
311,732189,298,446,502,2069,2055,1064,2735,2601,1095,-1389,0
312,732197,440,569,637,2117,2199,1173,2793,2854,1001,-1473,0
313,732213,279,468,599,1768,1563,752,1378,2261,852,-889,0
314,732229,386,548,802,1863,2447,1335,1838,2895,708,-1745,0
315,732237,2187,2208,2347,3228,2552,1874,-1100,5748,300,-1008,4
316,732269,671,921,1279,2271,2466,1461,340,3641,651,-1523,0
317,732349,16000,16000,16000,8257,666,490,-684,23823,-7477,9562,3
318,732357,16000,8065,7997,7601,1251,821,-976,15986,-2360,4747,3
319,732365,16000,16000,16000,7902,400,316,-484,23495,-7733,9780,3
320,732421,401,377,350,400,59,20,1284,685,-5,223,1
321,732429,178,204,202,299,83,67,1762,446,55,71,1
322,732437,247,297,322,586,264,191,1702,815,174,-14,0
323,732445,356,351,369,729,364,244,2182,1012,228,-58,0
324,732461,471,494,551,1300,963,624,1327,1799,486,-497,0
325,732469,380,516,578,1446,1160,721,2150,1972,585,-652,0
326,732477,386,527,544,1665,1587,977,2130,2278,735,-1064,0
327,732485,376,565,590,1869,1925,1195,2752,2590,836,-1366,0
328,732493,366,544,540,2068,2133,1246,2833,2743,1017,-1520,0
329,732501,371,612,601,2190,2371,1344,3001,2973,1054,-1685,0
330,732509,308,518,449,2320,2273,1263,3171,2863,1275,-1612,0
331,732517,361,490,504,2243,2186,1152,2497,2795,1200,-1487,0
332,732525,347,564,540,2449,2174,1145,2587,2956,1333,-1408,0
333,732533,524,759,691,2962,2646,1384,2583,3654,1560,-1683,0
334,732541,397,568,556,2396,2147,1106,2785,2928,1280,-1369,0
335,732549,345,516,558,2231,2252,1279,2625,2876,1142,-1590,0
336,732557,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
337,732565,482,612,736,2197,2440,1214,2667,3066,994,-1606,0
338,732581,501,641,882,2079,2494,1358,2455,3145,798,-1702,0
339,732589,4946,4897,5150,5666,4762,4136,-550,11596,-506,-1918,4
340,732597,445,592,879,1946,2659,1523,1883,3125,690,-1954,0
341,732605,435,571,802,1667,1898,1043,1046,2562,582,-1225,0
342,732613,574,886,1074,2154,2786,1603,1378,3559,662,-1924,0
343,732629,3635,3846,4131,4632,2760,3067,-348,8860,-229,-674,4
344,732685,5687,5759,5670,5381,1598,1484,-550,10623,-912,2159,4
345,732701,6893,7056,7446,7381,535,425,-684,12959,-524,4771,3
346,732709,6327,6814,6929,6945,617,490,-801,12247,-481,4364,3
347,732741,3421,3620,3554,3126,275,172,-183,6088,-637,2260,3
348,732749,206,345,367,446,178,137,279,732,45,72,1
349,732757,237,352,365,441,188,68,600,724,45,109,1
350,732765,314,262,378,568,356,237,1271,874,122,-96,0
351,732781,458,572,687,1101,1336,963,932,1985,197,-939,0
352,732789,483,593,761,1236,1705,1280,1331,2306,213,-1330,0
353,732805,670,894,1026,1747,2674,1895,2194,3355,303,-2116,0
354,732813,570,735,826,1581,2097,1493,2078,2789,379,-1608,0
355,732829,515,676,774,1720,2034,1351,2537,2752,557,-1481,0
356,732837,499,687,716,1771,1983,1316,2062,2726,632,-1431,0
357,732845,421,551,610,1727,1941,1278,2436,2548,697,-1450,0
358,732853,430,576,624,1827,2193,1406,2710,2734,744,-1671,0
359,732861,398,549,619,1900,2313,1389,3313,2789,818,-1736,0
360,732869,476,638,624,1970,2092,1221,2455,2776,863,-1447,0
361,732885,365,599,565,1884,2251,1301,3083,2724,839,-1651,0
362,732893,1521,1619,1595,2912,2285,1534,-94,4608,705,-1053,4
363,732901,346,565,593,1896,2356,1335,2918,2769,840,-1740,0
364,732909,-9999,-9999,-9999,-9999,-9999,-9999,2637,-9999,-9999,-9999,255
365,732917,374,528,599,1836,2331,1348,2835,2723,791,-1747,0
366,732925,375,524,592,1748,2309,1357,2487,2663,724,-1758,0
367,732933,474,624,781,1841,2489,1400,2150,2948,661,-1806,0
368,732941,741,826,951,2006,2414,1369,1547,3245,626,-1602,0
369,732957,839,959,1178,2091,2454,1507,699,3539,516,-1597,0
370,732973,505,656,882,1661,2515,1453,1547,2941,448,-1853,0
371,732989,549,719,1035,1734,2457,1423,699,3077,414,-1719,0
372,733005,389,614,888,1510,1935,1233,218,2584,385,-1363,0
373,733133,16000,16000,16000,8196,770,561,-222,23837,-7535,9436,3
374,733149,331,279,290,313,48,12,1271,541,-10,178,1
375,733157,2525,2542,2496,2658,1967,1551,-22,5453,-307,-399,4
376,733165,390,343,386,566,294,200,-9999,899,92,-10,255
377,733173,826,948,1024,1584,1844,1476,84,2958,199,-1312,2
378,733181,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
379,733197,2750,2967,3085,4038,3948,3071,-484,7767,149,-2131,4
380,733213,583,708,756,1936,1970,1278,1709,2856,731,-1347,0
381,733221,404,574,599,1740,2111,1339,2918,2622,702,-1600,0
382,733229,384,544,556,1864,2121,1320,2785,2652,834,-1591,0
383,733237,539,620,579,1567,1270,714,2062,2150,633,-672,2
384,733245,418,563,560,2026,2003,1170,2386,2690,973,-1381,0
385,733253,273,507,547,1978,2209,1248,2752,2685,965,-1599,0
386,733261,423,540,532,1918,2000,1104,2487,2588,914,-1373,0
387,733269,381,576,576,1853,2213,1233,3205,2678,821,-1590,0
388,733277,407,508,593,1823,2175,1166,2785,2620,809,-1537,0
389,733285,393,547,646,1810,2273,1283,2062,2713,750,-1654,0
390,733293,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
391,733301,463,689,772,1740,2383,1460,2960,2891,564,-1780,0
392,733309,569,653,878,1842,2441,1329,2284,3002,603,-1691,0
393,733333,1059,1335,1637,2672,3550,2199,1044,4831,533,-2426,4
394,733341,529,672,930,1809,2603,1442,1601,3089,537,-1858,0
395,733373,3205,3123,3325,3847,3157,2882,-418,7656,-201,-1394,4
396,733437,1475,1781,2011,1880,418,352,-158,3445,-177,898,2
397,733445,962,1230,1230,1528,524,289,-129,2496,141,426,3
398,733477,679,754,763,1147,803,525,31,1905,184,-233,3
399,733493,610,752,824,1299,1154,728,499,2168,257,-550,0
400,733501,545,724,857,1363,1797,1237,874,2518,234,-1283,0
401,733517,-9999,-9999,-9999,-9999,-9999,-9999,2233,-9999,-9999,-9999,255
402,733549,-9999,-9999,-9999,-9999,-9999,-9999,2487,-9999,-9999,-9999,255
403,733557,641,840,895,1928,2819,1967,2960,3420,518,-2276,0
404,733565,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
405,733573,507,621,637,1883,1799,1144,2062,2623,798,-1216,0
406,733581,453,552,642,1824,2086,1337,2686,2687,744,-1555,0
407,733589,440,610,681,1861,2395,1508,3083,2888,719,-1839,0
408,733597,535,639,724,2064,2533,1514,2785,3104,837,-1875,0
