,ordinaldate,blue,green,red,nir,swir1,swir2,therm,tcb,tcg,tcw,fmask
0,724453,2351,2409,2362,3563,2578,1928,-1587,6087,480,-943,4
1,724485,286,451,420,1327,749,385,2497,1563,646,-255,0
2,724741,294,311,292,465,301,218,1044,762,78,-84,0
3,724773,157,207,205,358,502,263,1748,655,74,-322,1
4,724821,350,502,468,1472,837,462,2150,1753,705,-307,0
5,724853,732,771,639,1325,821,532,1331,1964,374,-248,4
6,724869,394,587,567,1800,1241,693,2667,2220,857,-609,0
7,724917,230,356,395,790,944,837,2018,1357,196,-798,0
8,725045,5113,5321,5276,5410,643,440,-743,9581,-356,3224,3
9,725061,794,809,803,921,789,673,-129,1874,-67,-331,4
10,725093,1500,1479,1495,2038,1690,1275,-1400,3742,132,-721,4
11,725109,251,289,237,436,454,293,1044,763,83,-263,0
12,725141,177,213,237,464,482,195,1838,718,148,-234,0
13,725157,304,381,364,1105,700,338,2625,1353,517,-267,0
14,725189,1035,1161,1082,2242,1386,916,293,3225,694,-462,0
15,725205,1148,1296,1228,2519,1789,1178,849,3731,756,-766,4
16,725221,382,545,473,1766,1040,654,2455,2057,894,-493,0
17,725237,290,496,456,1745,1075,599,2752,1995,919,-506,0
18,725285,261,428,457,870,1044,377,1748,1397,275,-534,0
19,725301,361,452,480,709,1038,655,1189,1411,74,-716,0
20,725349,2197,2125,2275,2701,840,318,-403,4476,159,966,3
21,725461,501,514,532,720,688,527,600,1361,40,-365,0
22,725477,226,237,228,362,563,333,1656,732,39,-390,1
23,725509,261,291,308,763,451,261,2238,984,310,-155,0
24,725541,670,793,786,1678,1439,926,996,2529,529,-792,0
25,725605,16000,6707,6670,7466,5210,4296,-2042,16657,-2018,-783,4
26,725621,393,521,473,1249,1119,722,2455,1793,477,-694,0
27,725637,374,503,563,1303,1323,735,2411,1929,480,-807,0
28,725653,1152,1279,1255,2055,1710,1193,550,3452,375,-807,4
29,725669,433,610,668,1238,1630,954,1236,2153,312,-1106,0
30,725813,227,302,305,387,471,298,898,779,11,-264,1
31,725877,208,230,227,628,704,328,2625,920,255,-433,0
32,725925,302,424,455,1032,1090,735,3083,1594,347,-753,0
33,725941,383,503,554,1391,1250,691,3246,1944,559,-716,0
34,725957,463,589,602,1407,1297,828,3083,2078,497,-793,0
35,725973,410,566,612,1551,1485,981,2918,2240,598,-990,0
36,725989,366,551,531,1497,1752,1091,2835,2258,589,-1279,0
37,726005,414,575,588,1518,1505,1023,1928,2228,575,-1041,0
38,726021,533,587,732,1604,1622,1101,2106,2441,539,-1101,0
39,726181,935,1006,887,737,141,118,137,1594,-240,484,3
40,726197,164,159,221,305,209,147,1189,496,51,-67,1
41,726229,323,422,396,726,642,525,1883,1200,161,-398,0
42,726261,234,356,366,1060,674,325,2918,1293,498,-257,0
43,726277,297,390,397,1241,1116,669,2710,1659,560,-714,0
44,726293,387,593,660,1435,1415,887,2877,2163,493,-888,0
45,726309,459,650,742,1668,1466,955,2960,2412,604,-879,0
46,726325,414,615,683,1647,1735,1022,2918,2443,622,-1134,0
47,726357,461,649,649,1820,1640,1012,2368,2516,762,-1032,0
48,726373,329,449,441,1288,991,637,1656,1695,562,-574,2
49,726389,406,508,527,1379,1272,708,1564,1939,556,-750,0
50,726405,476,622,724,1738,1322,747,345,2341,702,-651,0
51,726453,620,771,908,1659,1513,687,-129,2534,501,-668,0
52,726485,3870,4132,4366,4557,528,467,-572,7810,-128,2557,3
53,726549,248,330,369,650,559,341,898,1019,173,-273,0
54,726565,303,349,385,579,555,386,1284,1015,89,-301,0
55,726581,264,367,372,756,691,396,1518,1154,237,-367,0
56,726597,722,891,937,1711,1521,1000,1331,2726,441,-818,0
57,726629,316,463,487,1278,1029,603,2411,1722,535,-564,0
58,726645,2819,3048,3099,4432,4414,3731,947,8348,330,-2751,4
59,726709,325,459,484,1542,1121,666,2106,1915,736,-615,0
60,726757,1994,2115,2206,3019,2965,2701,-2177,5794,135,-1904,4
61,726933,312,337,372,517,615,413,600,995,43,-377,0
62,726949,451,573,555,1209,965,603,1748,1773,401,-487,0
63,726997,314,458,455,1270,1387,803,2877,1855,517,-943,0
64,727013,745,856,841,1750,1659,1191,1284,2773,495,-1057,2
65,727045,362,562,546,1711,1692,997,3042,2352,764,-1132,0
66,727061,417,623,600,1879,1890,1146,2877,2612,827,-1294,0
67,727077,450,607,648,1840,2109,1278,2667,2715,751,-1519,0
68,727093,507,669,743,1935,2351,1462,2793,2978,730,-1733,0
69,727109,526,726,757,2024,2287,1462,2150,3045,778,-1656,0
70,727125,500,641,693,1925,2401,1429,1702,2940,759,-1771,0
71,727285,522,640,780,1262,1378,934,1425,2176,258,-874,0
72,727333,435,570,628,1383,1505,935,2540,2155,458,-1002,0
73,727349,538,706,765,1686,2100,1308,3446,2755,531,-1502,0
