Date,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Brightness,Greenness,Wetness,Band 11
1984-06-26,2351.00000,2409.00000,2362.00000,3563.00000,2578.00000,1928.00000,-1587.00000,6087.00000, 480.00000,-943.00000,   4.00000
1984-07-28, 286.00000, 451.00000, 420.00000,1327.00000, 749.00000, 385.00000,2497.00000,1563.00000, 646.00000,-255.00000,   0.00000
1985-04-10, 294.00000, 311.00000, 292.00000, 465.00000, 301.00000, 218.00000,1044.00000, 762.00000,  78.00000, -84.00000,   0.00000
1985-05-12, 157.00000, 207.00000, 205.00000, 358.00000, 502.00000, 263.00000,1748.00000, 655.00000,  74.00000,-322.00000,   1.00000
1985-06-29, 350.00000, 502.00000, 468.00000,1472.00000, 837.00000, 462.00000,2150.00000,1753.00000, 705.00000,-307.00000,   0.00000
1985-07-31, 732.00000, 771.00000, 639.00000,1325.00000, 821.00000, 532.00000,1331.00000,1964.00000, 374.00000,-248.00000,   4.00000
1985-08-16, 394.00000, 587.00000, 567.00000,1800.00000,1241.00000, 693.00000,2667.00000,2220.00000, 857.00000,-609.00000,   0.00000
1985-10-03, 230.00000, 356.00000, 395.00000, 790.00000, 944.00000, 837.00000,2018.00000,1357.00000, 196.00000,-798.00000,   0.00000
1986-02-08,5113.00000,5321.00000,5276.00000,5410.00000, 643.00000, 440.00000,-743.00000,9581.00000,-356.00000,3224.00000,   3.00000
1986-02-24, 794.00000, 809.00000, 803.00000, 921.00000, 789.00000, 673.00000,-129.00000,1874.00000, -67.00000,-331.00000,   4.00000
1986-03-28,1500.00000,1479.00000,1495.00000,2038.00000,1690.00000,1275.00000,-1400.00000,3742.00000, 132.00000,-721.00000,   4.00000
1986-04-13, 251.00000, 289.00000, 237.00000, 436.00000, 454.00000, 293.00000,1044.00000, 763.00000,  83.00000,-263.00000,   0.00000
1986-05-15, 177.00000, 213.00000, 237.00000, 464.00000, 482.00000, 195.00000,1838.00000, 718.00000, 148.00000,-234.00000,   0.00000
1986-05-31, 304.00000, 381.00000, 364.00000,1105.00000, 700.00000, 338.00000,2625.00000,1353.00000, 517.00000,-267.00000,   0.00000
1986-07-02,1035.00000,1161.00000,1082.00000,2242.00000,1386.00000, 916.00000, 293.00000,3225.00000, 694.00000,-462.00000,   0.00000
1986-07-18,1148.00000,1296.00000,1228.00000,2519.00000,1789.00000,1178.00000, 849.00000,3731.00000, 756.00000,-766.00000,   4.00000
1986-08-03, 382.00000, 545.00000, 473.00000,1766.00000,1040.00000, 654.00000,2455.00000,2057.00000, 894.00000,-493.00000,   0.00000
1986-08-19, 290.00000, 496.00000, 456.00000,1745.00000,1075.00000, 599.00000,2752.00000,1995.00000, 919.00000,-506.00000,   0.00000
1986-10-06, 261.00000, 428.00000, 457.00000, 870.00000,1044.00000, 377.00000,1748.00000,1397.00000, 275.00000,-534.00000,   0.00000
1986-10-22, 361.00000, 452.00000, 480.00000, 709.00000,1038.00000, 655.00000,1189.00000,1411.00000,  74.00000,-716.00000,   0.00000
1986-12-09,2197.00000,2125.00000,2275.00000,2701.00000, 840.00000, 318.00000,-403.00000,4476.00000, 159.00000, 966.00000,   3.00000
1987-03-31, 501.00000, 514.00000, 532.00000, 720.00000, 688.00000, 527.00000, 600.00000,1361.00000,  40.00000,-365.00000,   0.00000
1987-04-16, 226.00000, 237.00000, 228.00000, 362.00000, 563.00000, 333.00000,1656.00000, 732.00000,  39.00000,-390.00000,   1.00000
1987-05-18, 261.00000, 291.00000, 308.00000, 763.00000, 451.00000, 261.00000,2238.00000, 984.00000, 310.00000,-155.00000,   0.00000
1987-06-19, 670.00000, 793.00000, 786.00000,1678.00000,1439.00000, 926.00000, 996.00000,2529.00000, 529.00000,-792.00000,   0.00000
1987-08-22,16000.00000,6707.00000,6670.00000,7466.00000,5210.00000,4296.00000,-2042.00000,16657.00000,-2018.00000,-783.00000,   4.00000
1987-09-07, 393.00000, 521.00000, 473.00000,1249.00000,1119.00000, 722.00000,2455.00000,1793.00000, 477.00000,-694.00000,   0.00000
1987-09-23, 374.00000, 503.00000, 563.00000,1303.00000,1323.00000, 735.00000,2411.00000,1929.00000, 480.00000,-807.00000,   0.00000
1987-10-09,1152.00000,1279.00000,1255.00000,2055.00000,1710.00000,1193.00000, 550.00000,3452.00000, 375.00000,-807.00000,   4.00000
1987-10-25, 433.00000, 610.00000, 668.00000,1238.00000,1630.00000, 954.00000,1236.00000,2153.00000, 312.00000,-1106.00000,   0.00000
1988-03-17, 227.00000, 302.00000, 305.00000, 387.00000, 471.00000, 298.00000, 898.00000, 779.00000,  11.00000,-264.00000,   1.00000
1988-05-20, 208.00000, 230.00000, 227.00000, 628.00000, 704.00000, 328.00000,2625.00000, 920.00000, 255.00000,-433.00000,   0.00000
1988-07-07, 302.00000, 424.00000, 455.00000,1032.00000,1090.00000, 735.00000,3083.00000,1594.00000, 347.00000,-753.00000,   0.00000
1988-07-23, 383.00000, 503.00000, 554.00000,1391.00000,1250.00000, 691.00000,3246.00000,1944.00000, 559.00000,-716.00000,   0.00000
1988-08-08, 463.00000, 589.00000, 602.00000,1407.00000,1297.00000, 828.00000,3083.00000,2078.00000, 497.00000,-793.00000,   0.00000
1988-08-24, 410.00000, 566.00000, 612.00000,1551.00000,1485.00000, 981.00000,2918.00000,2240.00000, 598.00000,-990.00000,   0.00000
1988-09-09, 366.00000, 551.00000, 531.00000,1497.00000,1752.00000,1091.00000,2835.00000,2258.00000, 589.00000,-1279.00000,   0.00000
1988-09-25, 414.00000, 575.00000, 588.00000,1518.00000,1505.00000,1023.00000,1928.00000,2228.00000, 575.00000,-1041.00000,   0.00000
1988-10-11, 533.00000, 587.00000, 732.00000,1604.00000,1622.00000,1101.00000,2106.00000,2441.00000, 539.00000,-1101.00000,   0.00000
1989-03-20, 935.00000,1006.00000, 887.00000, 737.00000, 141.00000, 118.00000, 137.00000,1594.00000,-240.00000, 484.00000,   3.00000
1989-04-05, 164.00000, 159.00000, 221.00000, 305.00000, 209.00000, 147.00000,1189.00000, 496.00000,  51.00000, -67.00000,   1.00000
1989-05-07, 323.00000, 422.00000, 396.00000, 726.00000, 642.00000, 525.00000,1883.00000,1200.00000, 161.00000,-398.00000,   0.00000
1989-06-08, 234.00000, 356.00000, 366.00000,1060.00000, 674.00000, 325.00000,2918.00000,1293.00000, 498.00000,-257.00000,   0.00000
1989-06-24, 297.00000, 390.00000, 397.00000,1241.00000,1116.00000, 669.00000,2710.00000,1659.00000, 560.00000,-714.00000,   0.00000
1989-07-10, 387.00000, 593.00000, 660.00000,1435.00000,1415.00000, 887.00000,2877.00000,2163.00000, 493.00000,-888.00000,   0.00000
1989-07-26, 459.00000, 650.00000, 742.00000,1668.00000,1466.00000, 955.00000,2960.00000,2412.00000, 604.00000,-879.00000,   0.00000
1989-08-11, 414.00000, 615.00000, 683.00000,1647.00000,1735.00000,1022.00000,2918.00000,2443.00000, 622.00000,-1134.00000,   0.00000
1989-09-12, 461.00000, 649.00000, 649.00000,1820.00000,1640.00000,1012.00000,2368.00000,2516.00000, 762.00000,-1032.00000,   0.00000
1989-09-28, 329.00000, 449.00000, 441.00000,1288.00000, 991.00000, 637.00000,1656.00000,1695.00000, 562.00000,-574.00000,   2.00000
1989-10-14, 406.00000, 508.00000, 527.00000,1379.00000,1272.00000, 708.00000,1564.00000,1939.00000, 556.00000,-750.00000,   0.00000
1989-10-30, 476.00000, 622.00000, 724.00000,1738.00000,1322.00000, 747.00000, 345.00000,2341.00000, 702.00000,-651.00000,   0.00000
1989-12-17, 620.00000, 771.00000, 908.00000,1659.00000,1513.00000, 687.00000,-129.00000,2534.00000, 501.00000,-668.00000,   0.00000
1990-01-18,3870.00000,4132.00000,4366.00000,4557.00000, 528.00000, 467.00000,-572.00000,7810.00000,-128.00000,2557.00000,   3.00000
1990-03-23, 248.00000, 330.00000, 369.00000, 650.00000, 559.00000, 341.00000, 898.00000,1019.00000, 173.00000,-273.00000,   0.00000
1990-04-08, 303.00000, 349.00000, 385.00000, 579.00000, 555.00000, 386.00000,1284.00000,1015.00000,  89.00000,-301.00000,   0.00000
1990-04-24, 264.00000, 367.00000, 372.00000, 756.00000, 691.00000, 396.00000,1518.00000,1154.00000, 237.00000,-367.00000,   0.00000
1990-05-10, 722.00000, 891.00000, 937.00000,1711.00000,1521.00000,1000.00000,1331.00000,2726.00000, 441.00000,-818.00000,   0.00000
1990-06-11, 316.00000, 463.00000, 487.00000,1278.00000,1029.00000, 603.00000,2411.00000,1722.00000, 535.00000,-564.00000,   0.00000
1990-06-27,2819.00000,3048.00000,3099.00000,4432.00000,4414.00000,3731.00000, 947.00000,8348.00000, 330.00000,-2751.00000,   4.00000
1990-08-30, 325.00000, 459.00000, 484.00000,1542.00000,1121.00000, 666.00000,2106.00000,1915.00000, 736.00000,-615.00000,   0.00000
1990-10-17,1994.00000,2115.00000,2206.00000,3019.00000,2965.00000,2701.00000,-2177.00000,5794.00000, 135.00000,-1904.00000,   4.00000
1991-04-11, 312.00000, 337.00000, 372.00000, 517.00000, 615.00000, 413.00000, 600.00000, 995.00000,  43.00000,-377.00000,   0.00000
1991-04-27, 451.00000, 573.00000, 555.00000,1209.00000, 965.00000, 603.00000,1748.00000,1773.00000, 401.00000,-487.00000,   0.00000
1991-06-14, 314.00000, 458.00000, 455.00000,1270.00000,1387.00000, 803.00000,2877.00000,1855.00000, 517.00000,-943.00000,   0.00000
1991-06-30, 745.00000, 856.00000, 841.00000,1750.00000,1659.00000,1191.00000,1284.00000,2773.00000, 495.00000,-1057.00000,   2.00000
1991-08-01, 362.00000, 562.00000, 546.00000,1711.00000,1692.00000, 997.00000,3042.00000,2352.00000, 764.00000,-1132.00000,   0.00000
1991-08-17, 417.00000, 623.00000, 600.00000,1879.00000,1890.00000,1146.00000,2877.00000,2612.00000, 827.00000,-1294.00000,   0.00000
1991-09-02, 450.00000, 607.00000, 648.00000,1840.00000,2109.00000,1278.00000,2667.00000,2715.00000, 751.00000,-1519.00000,   0.00000
1991-09-18, 507.00000, 669.00000, 743.00000,1935.00000,2351.00000,1462.00000,2793.00000,2978.00000, 730.00000,-1733.00000,   0.00000
1991-10-04, 526.00000, 726.00000, 757.00000,2024.00000,2287.00000,1462.00000,2150.00000,3045.00000, 778.00000,-1656.00000,   0.00000
1991-10-20, 500.00000, 641.00000, 693.00000,1925.00000,2401.00000,1429.00000,1702.00000,2940.00000, 759.00000,-1771.00000,   0.00000
1992-03-28, 522.00000, 640.00000, 780.00000,1262.00000,1378.00000, 934.00000,1425.00000,2176.00000, 258.00000,-874.00000,   0.00000
1992-05-15, 435.00000, 570.00000, 628.00000,1383.00000,1505.00000, 935.00000,2540.00000,2155.00000, 458.00000,-1002.00000,   0.00000
1992-05-31, 538.00000, 706.00000, 765.00000,1686.00000,2100.00000,1308.00000,3446.00000,2755.00000, 531.00000,-1502.00000,   0.00000
1992-06-16, 740.00000, 996.00000,1059.00000,2087.00000,2615.00000,1709.00000,2625.00000,3564.00000, 550.00000,-1863.00000,   0.00000
1992-07-02,3440.00000,3502.00000,3672.00000,4521.00000,4476.00000,3538.00000,-403.00000,9005.00000, -53.00000,-2369.00000,   4.00000
1992-07-18, 541.00000, 765.00000, 788.00000,2051.00000,2237.00000,1400.00000,3124.00000,3066.00000, 783.00000,-1561.00000,   0.00000
1992-08-03, 671.00000, 899.00000, 930.00000,2304.00000,2718.00000,1866.00000,3124.00000,3631.00000, 796.00000,-2048.00000,   0.00000
