,date,blue,green,red,nir,swir1,swir2,therm,tcb,tcg,tcw
0,1984-07-28 00:00:00,0.0318,0.0585,0.0508,0.2812,0.1507,0.0785,0.2062,0.2857,0.1689,-0.067
1,1985-04-10 00:00:00,0.0261,0.0314,0.0328,0.0343,0.0139,0.0098,0.0849,0.0628,-0.0014,0.0086
2,1985-05-12 00:00:00,0.028,0.0305,0.0378,0.0669,0.0317,0.0194,0.1471,0.0921,0.0205,-0.0016
3,1985-06-29 00:00:00,0.0487,0.0759,0.0808,0.2391,0.2669,0.1655,0.2106,0.3454,0.1016,-0.1941
4,1985-08-16 00:00:00,0.0361,0.0622,0.0567,0.2576,0.224,0.1139,0.2194,0.309,0.1406,-0.1404
5,1985-10-03 00:00:00,0.0316,0.0531,0.0704,0.2016,0.2435,0.1406,0.1702,0.292,0.0883,-0.1787
6,1986-04-13 00:00:00,0.0239,0.0257,0.0207,0.0322,0.012,0.0024,0.065,0.0498,0.0055,0.009
7,1986-05-15 00:00:00,0.0224,0.0312,0.0353,0.0534,0.0132,0.0091,0.1518,0.0739,0.0132,0.0139
8,1986-05-31 00:00:00,0.0255,0.0348,0.0391,0.0821,0.0298,0.0126,0.2455,0.1007,0.0324,0.008
9,1986-08-03 00:00:00,0.043,0.0657,0.0602,0.2767,0.2338,0.1211,0.2497,0.3295,0.1512,-0.1457
10,1986-08-19 00:00:00,0.0274,0.0601,0.055,0.2814,0.2235,0.106,0.254,0.317,0.1634,-0.1318
11,1986-10-06 00:00:00,0.0328,0.0565,0.0739,0.2239,0.2328,0.1263,0.161,0.3017,0.1054,-0.1565
12,1986-10-22 00:00:00,0.0506,0.0728,0.0952,0.2213,0.2532,0.1329,0.0947,0.3303,0.0854,-0.1644
13,1987-03-31 00:00:00,0.0283,0.0293,0.0341,0.0416,0.0178,0.0106,0.07,0.0687,0.0037,0.0069
14,1987-04-16 00:00:00,0.0354,0.0387,0.0424,0.0675,0.0277,0.0179,0.1236,0.0983,0.0159,0.0055
15,1987-05-18 00:00:00,0.0512,0.072,0.0829,0.187,0.2331,0.1573,0.1928,0.303,0.0608,-0.1763
16,1987-06-19 00:00:00,0.0649,0.0833,0.088,0.2418,0.2142,0.1307,0.1093,0.3327,0.101,-0.1322
17,1987-09-07 00:00:00,0.0373,0.0544,0.0593,0.2141,0.199,0.1005,0.2194,0.2715,0.1083,-0.1244
18,1987-09-23 00:00:00,0.0401,0.0562,0.0613,0.209,0.2057,0.113,0.215,0.276,0.1006,-0.1366
19,1987-10-25 00:00:00,0.0399,0.0674,0.0906,0.2085,0.2424,0.1408,0.0898,0.3145,0.0793,-0.1673
20,1988-03-17 00:00:00,0.031,0.0346,0.0381,0.061,0.0171,0.0119,0.08,0.0849,0.0154,0.0128
21,1988-05-20 00:00:00,0.0556,0.08,0.0929,0.2125,0.2907,0.1931,0.2411,0.3537,0.0685,-0.2276
22,1988-07-07 00:00:00,0.0332,0.0582,0.0595,0.2353,0.2118,0.1177,0.2752,0.2925,0.1223,-0.1388
23,1988-07-23 00:00:00,0.0289,0.0503,0.0525,0.2305,0.2104,0.1115,0.2877,0.2799,0.1253,-0.1389
24,1988-08-08 00:00:00,0.0368,0.0566,0.055,0.2315,0.2079,0.1044,0.254,0.2836,0.1232,-0.1304
25,1988-08-24 00:00:00,0.0274,0.053,0.0612,0.2313,0.2307,0.1173,0.2835,0.2936,0.1205,-0.1529
