,ordinaldate,blue,green,red,nir,swir1,swir2,therm,tcb,tcg,tcw,fmask
375,733157,16000,4432,4448,4956,4870,4115,-685,12894,-2391,-2080,4
376,733165,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
377,733173,890,989,995,1367,1138,881,-403,2488,108,-509,4
378,733181,-9999,-9999,-9999,-9999,-9999,-9999,2284,-9999,-9999,-9999,255
379,733197,377,480,471,1320,1299,856,1547,1900,526,-894,0
380,733213,604,764,685,1987,1474,968,989,2646,835,-820,0
381,733221,364,536,487,1708,1314,799,2540,2143,824,-778,0
382,733229,295,437,380,1980,1300,717,2386,2162,1138,-720,0
383,733237,3753,3979,3878,4949,5000,4433,-1277,10000,-99,-3019,4
384,733245,364,544,417,2378,1480,698,2182,2521,1404,-718,0
385,733253,205,473,405,2397,1573,863,2238,2531,1442,-902,0
386,733261,292,514,422,2529,1548,747,2233,2616,1532,-772,0
387,733269,308,539,426,2405,1597,867,2583,2604,1406,-896,0
388,733277,286,525,408,2595,1626,844,2335,2697,1576,-874,0
389,733285,372,583,519,2535,1813,979,1518,2855,1428,-1046,0
390,733293,-9999,-9999,-9999,-9999,-9999,-9999,2284,-9999,-9999,-9999,255
391,733301,490,723,801,2321,2363,1343,2540,3227,1016,-1565,0
392,733309,456,738,893,2517,2566,1394,2026,3465,1121,-1666,0
393,733333,680,957,1073,1719,1821,1300,448,2988,329,-1150,4
394,733341,562,795,1037,2200,2849,1627,1382,3550,735,-2003,0
395,733373,3783,3899,4100,4551,4359,4052,-287,9578,-456,-2374,4
396,733437,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
397,733445,1332,1498,1600,2086,2059,1478,189,3964,111,-1056,2
398,733477,564,661,688,880,922,616,-75,1707,35,-467,0
399,733493,433,463,490,761,986,726,650,1466,87,-707,0
400,733501,294,381,422,664,933,655,521,1277,94,-688,0
401,733517,322,405,518,856,1059,784,2130,1525,170,-780,0
402,733549,383,511,507,1161,1246,865,2182,1828,373,-877,0
403,733557,437,565,590,1491,1621,1163,2625,2283,531,-1211,0
404,733565,375,453,523,1365,1257,836,1974,1925,545,-834,0
405,733573,16000,4983,4852,5495,3484,2447,-348,12834,-2041,224,4
406,733581,331,438,445,1647,1298,854,2233,2046,815,-846,0
407,733589,275,476,491,1795,1506,946,2540,2247,898,-995,0
408,733597,334,506,507,2225,1617,997,2182,2574,1208,-1005,0
409,733605,337,521,473,2060,1778,1029,2835,2525,1085,-1174,0
410,733613,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
411,733621,364,597,563,2516,2079,1141,2368,2993,1365,-1314,0
412,733629,279,499,426,2372,1860,953,2637,2665,1381,-1143,0
413,733637,361,648,544,2346,2049,1187,2282,2907,1223,-1350,0
414,733645,339,555,543,2380,2177,1162,2686,2917,1278,-1435,0
415,733653,529,811,862,2501,2361,1419,1610,3425,1092,-1537,0
416,733661,372,588,785,2315,2470,1311,2785,3160,1072,-1656,0
417,733669,471,655,849,2303,2682,1505,2325,3348,973,-1884,0
418,733677,540,753,1002,2437,2735,1546,2335,3591,965,-1850,0
419,733685,495,698,909,2172,2382,1404,849,3212,840,-1616,0
420,733741,1018,1214,1593,2598,2194,1279,-31,4068,663,-995,0
421,733749,1160,1357,1493,2402,2374,1557,-1462,4109,462,-1324,0
422,733821,718,775,942,1392,2076,1385,340,2760,155,-1516,0
423,733837,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
424,733845,737,820,887,1226,1213,831,-183,2258,118,-630,0
