Date,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Brightness,Greenness,Wetness,Band 11
1984-06-26,1517.00000,1592.00000,1551.00000,2669.00000,1718.00000,1219.00000,-459.00000,4182.00000, 586.00000,-542.00000,   4.00000
1984-07-28, 321.00000, 653.00000, 509.00000,3246.00000,1726.00000, 857.00000,2106.00000,3221.00000,2008.00000,-764.00000,   0.00000
1985-04-10,16000.00000,4244.00000,4224.00000,4872.00000,3373.00000,2543.00000,-2042.00000,11810.00000,-2078.00000,-225.00000,   4.00000
1985-05-12, 222.00000, 307.00000, 321.00000, 634.00000, 271.00000, 160.00000,1331.00000, 836.00000, 219.00000,  10.00000,   0.00000
1985-06-29, 364.00000, 598.00000, 496.00000,2632.00000,1525.00000, 803.00000,1748.00000,2772.00000,1539.00000,-728.00000,   0.00000
1985-07-31, 742.00000,1086.00000, 856.00000,4980.00000,2200.00000,1153.00000, 898.00000,4891.00000,3008.00000,-720.00000,   4.00000
1985-08-16, 314.00000, 692.00000, 537.00000,3865.00000,1890.00000, 952.00000,2018.00000,3680.00000,2464.00000,-796.00000,   0.00000
1985-10-03, 361.00000, 664.00000, 589.00000,2815.00000,2117.00000,1169.00000,1471.00000,3225.00000,1572.00000,-1277.00000,   0.00000
1986-02-08,5372.00000,5700.00000,5827.00000,5926.00000, 600.00000, 440.00000,-685.00000,10378.00000,-342.00000,3610.00000,   3.00000
1986-02-24, 333.00000, 393.00000, 393.00000, 431.00000, 158.00000, 200.00000,-129.00000, 792.00000, -20.00000,  66.00000,   1.00000
1986-03-28, 831.00000, 875.00000, 856.00000,1094.00000, 810.00000, 645.00000,-515.00000,2038.00000,  28.00000,-263.00000,   4.00000
1986-04-13, 263.00000, 297.00000, 307.00000, 439.00000, 224.00000, 178.00000, 700.00000, 710.00000,  64.00000, -12.00000,   1.00000
1986-05-15, 227.00000, 314.00000, 325.00000, 639.00000, 272.00000, 230.00000,1518.00000, 862.00000, 209.00000, -29.00000,   0.00000
1986-05-31, 291.00000, 383.00000, 365.00000, 893.00000, 487.00000, 338.00000,2368.00000,1164.00000, 349.00000,-164.00000,   0.00000
1986-07-02, 756.00000,1030.00000, 907.00000,2892.00000,1652.00000, 952.00000, 849.00000,3482.00000,1364.00000,-628.00000,   0.00000
1986-07-18, 422.00000, 617.00000, 507.00000,2222.00000,1079.00000, 597.00000,1236.00000,2375.00000,1225.00000,-370.00000,   2.00000
1986-08-03, 348.00000, 649.00000, 442.00000,3227.00000,1643.00000, 766.00000,2062.00000,3129.00000,2035.00000,-676.00000,   0.00000
1986-08-19, 293.00000, 603.00000, 426.00000,3499.00000,1745.00000, 906.00000,2150.00000,3311.00000,2258.00000,-794.00000,   0.00000
1986-10-06, 352.00000, 658.00000, 659.00000,2677.00000,2098.00000,1166.00000,1471.00000,3174.00000,1431.00000,-1269.00000,   0.00000
1986-10-22, 452.00000, 727.00000, 905.00000,2438.00000,2310.00000,1217.00000, 849.00000,3299.00000,1081.00000,-1397.00000,   0.00000
1986-12-09, 803.00000, 932.00000,1109.00000,1690.00000, 840.00000, 666.00000,-293.00000,2552.00000, 365.00000, -91.00000,   3.00000
1987-03-31, 294.00000, 368.00000, 445.00000, 584.00000, 347.00000, 274.00000, 800.00000, 966.00000,  77.00000, -68.00000,   0.00000
1987-04-16, 330.00000, 417.00000, 419.00000, 751.00000, 458.00000, 333.00000,1189.00000,1124.00000, 197.00000,-144.00000,   0.00000
1987-05-18, 356.00000, 532.00000, 490.00000,1694.00000,1262.00000, 778.00000,1702.00000,2113.00000, 817.00000,-732.00000,   0.00000
1987-06-19, 563.00000, 865.00000, 700.00000,3130.00000,1745.00000, 995.00000, 996.00000,3435.00000,1716.00000,-774.00000,   0.00000
1987-08-22,3470.00000,3510.00000,3541.00000,4096.00000,2887.00000,2431.00000,-2314.00000,7944.00000,-172.00000,-733.00000,   4.00000
1987-09-07, 411.00000, 715.00000, 609.00000,3478.00000,2005.00000,1012.00000,1883.00000,3577.00000,2092.00000,-957.00000,   0.00000
1987-09-23, 408.00000, 804.00000, 717.00000,3285.00000,2210.00000,1133.00000,2018.00000,3654.00000,1849.00000,-1157.00000,   0.00000
1987-10-09,1484.00000,1683.00000,1605.00000,2958.00000,2002.00000,1336.00000,-183.00000,4524.00000, 757.00000,-716.00000,   4.00000
1987-10-25, 577.00000, 938.00000,1138.00000,3160.00000,2578.00000,1524.00000, 947.00000,4111.00000,1429.00000,-1507.00000,   0.00000
1988-03-17, 395.00000, 475.00000, 570.00000, 921.00000, 531.00000, 388.00000, 849.00000,1378.00000, 227.00000,-133.00000,   0.00000
1988-05-20, 378.00000, 707.00000, 650.00000,2465.00000,2035.00000,1147.00000,2106.00000,3048.00000,1255.00000,-1248.00000,   0.00000
1988-07-07, 350.00000, 678.00000, 511.00000,3568.00000,1936.00000, 940.00000,2238.00000,3508.00000,2240.00000,-888.00000,   0.00000
1988-07-23, 324.00000, 731.00000, 526.00000,3845.00000,2080.00000, 974.00000,2368.00000,3745.00000,2440.00000,-938.00000,   0.00000
1988-08-08, 400.00000, 829.00000, 632.00000,3897.00000,2062.00000,1012.00000,2194.00000,3893.00000,2390.00000,-884.00000,   0.00000
1988-08-24, 395.00000, 919.00000, 831.00000,3870.00000,2436.00000,1287.00000,2625.00000,4205.00000,2212.00000,-1232.00000,   0.00000
1988-09-09, 478.00000, 930.00000,1033.00000,3409.00000,2741.00000,1542.00000,2325.00000,4228.00000,1693.00000,-1618.00000,   0.00000
1988-09-25, 738.00000,1157.00000,1538.00000,3445.00000,3167.00000,1881.00000,1793.00000,4887.00000,1332.00000,-1897.00000,   0.00000
1988-10-11, 741.00000,1320.00000,1787.00000,3375.00000,3313.00000,2012.00000,1793.00000,5129.00000,1099.00000,-1980.00000,   0.00000
1989-03-20, 419.00000, 378.00000, 262.00000, 384.00000, 141.00000, 118.00000,  84.00000, 679.00000,   9.00000,  78.00000,   1.00000
1989-04-05, 184.00000, 161.00000, 189.00000, 305.00000, 155.00000,  66.00000,1093.00000, 448.00000,  75.00000,  11.00000,   1.00000
1989-05-07, 349.00000, 439.00000, 439.00000, 803.00000, 401.00000, 272.00000,1838.00000,1146.00000, 230.00000, -46.00000,   0.00000
1989-06-08, 342.00000, 515.00000, 590.00000,1330.00000, 833.00000, 595.00000,2368.00000,1772.00000, 511.00000,-373.00000,   0.00000
1989-06-24, 314.00000, 551.00000, 593.00000,1853.00000,1392.00000, 839.00000,2325.00000,2315.00000, 886.00000,-793.00000,   0.00000
1989-07-10, 358.00000, 659.00000, 690.00000,2505.00000,2533.00000,1545.00000,2411.00000,3318.00000,1223.00000,-1820.00000,   0.00000
1989-07-26, 352.00000, 685.00000, 684.00000,2741.00000,2720.00000,1637.00000,2877.00000,3539.00000,1395.00000,-1954.00000,   0.00000
1989-08-11, 369.00000, 617.00000, 593.00000,2826.00000,2531.00000,1355.00000,2667.00000,3388.00000,1561.00000,-1678.00000,   0.00000
1989-09-12, 370.00000, 729.00000, 752.00000,2795.00000,2682.00000,1464.00000,2106.00000,3578.00000,1417.00000,-1781.00000,   0.00000
1989-09-28, 447.00000, 645.00000, 686.00000,2071.00000,1860.00000,1053.00000,1883.00000,2754.00000, 940.00000,-1147.00000,   0.00000
1989-10-14, 576.00000, 804.00000, 914.00000,1945.00000,1826.00000,1071.00000, 947.00000,2893.00000, 670.00000,-1053.00000,   2.00000
1989-10-30, 592.00000, 794.00000,1071.00000,2433.00000,2496.00000,1456.00000, 293.00000,3558.00000, 924.00000,-1602.00000,   0.00000
1989-12-17, 582.00000, 861.00000, 983.00000,1484.00000, 867.00000, 597.00000,-293.00000,2282.00000, 325.00000,-168.00000,   3.00000
1990-01-18,1194.00000,1171.00000,1146.00000,1203.00000, 203.00000, 137.00000,-459.00000,2150.00000, -78.00000, 643.00000,   3.00000
1990-03-23, 127.00000, 201.00000, 145.00000, 204.00000, 140.00000,  72.00000, 750.00000, 367.00000,  16.00000, -10.00000,   1.00000
1990-04-08, 237.00000, 239.00000, 221.00000, 339.00000, 206.00000, 145.00000, 898.00000, 563.00000,  49.00000, -38.00000,   1.00000
1990-04-24, 280.00000, 377.00000, 410.00000, 833.00000, 516.00000, 320.00000, 947.00000,1154.00000, 285.00000,-172.00000,   0.00000
